code,inside,outside,workers_count,inside_per,outside_per,places,statistical_zone,name,province,loc_string
19024,0,1567,1567,0,1,88,12,Alovera,Guadalajara,Alovera+Guadalajara+spain
19046,0,4558,4558,0,1,103,12,Azuqueca de Henares,Guadalajara,Azuqueca+de+Henares+Guadalajara+spain
19058,0,830,830,0,1,69,12,Cabanillas del Campo,Guadalajara,Cabanillas+del+Campo+Guadalajara+spain
19071,0,1770,1770,0,1,82,12,El casar,Guadalajara,El+casar+Guadalajara+spain
19105,0,357,357,0,1,58,12,Chiloeches,Guadalajara,Chiloeches+Guadalajara+spain
19117,0,130,130,0,1,39,12,Fontanar,Guadalajara,Fontanar+Guadalajara+spain
19126,0,350,350,0,1,58,12,Galápagos,Guadalajara,Galápagos+Guadalajara+spain
19130,0,6183,6183,0,1,119,12,Guadalajara,Guadalajara,Guadalajara+Guadalajara+spain
19160,0,162,162,0,1,45,12,Loranca de Tajuña,Guadalajara,Loranca+de+Tajuña+Guadalajara+spain
19171,0,364,364,0,1,59,12,Marchamalo,Guadalajara,Marchamalo+Guadalajara+spain
19220,0,438,438,0,1,66,12,Pioz,Guadalajara,Pioz+Guadalajara+spain
19225,0,156,156,0,1,47,12,Pozo de Guadalajara,Guadalajara,Pozo+de+Guadalajara+Guadalajara+spain
19230,0,81,81,0,1,27,12,Quer,Guadalajara,Quer+Guadalajara+spain
19280,0,738,738,0,1,73,12,Torrejón del Rey,Guadalajara,Torrejón+del+Rey+Guadalajara+spain
19286,0,51,51,0,1,24,12,Tórtola de Henares,Guadalajara,Tórtola+de+Henares+Guadalajara+spain
19297,0,2,2,0,1,2,12,Valdarachas,Guadalajara,Valdarachas+Guadalajara+spain
19300,0,114,114,0,1,39,12,Valdeaveruelo,Guadalajara,Valdeaveruelo+Guadalajara+spain
19319,0,991,991,0,1,75,12,Villanueva de la Torre,Guadalajara,Villanueva+de+la+Torre+Guadalajara+spain
19326,0,235,235,0,1,55,12,Yebes,Guadalajara,Yebes+Guadalajara+spain
19331,0,198,198,0,1,53,12,Yunquera de Henares,Guadalajara,Yunquera+de+Henares+Guadalajara+spain
28001,5,10,15,0.3333333333333333,0.6666666666666666,10,06,La Acebeda,Madrid,La+Acebeda+Madrid+spain
