minutes,walking,bicycling,transit,driving,nomode
5,NA,NA,2631,NA,NA
6,NA,NA,4,NA,NA
7,NA,NA,66,NA,NA
8,NA,14,1093,NA,NA
9,NA,38,2415,285,NA
10,NA,1976,2883,3297,NA
11,1317,11354,1223,7508,NA
12,NA,11188,2782,5315,NA
13,NA,12185,5305,7711,NA
14,NA,13957,2128,20090,NA
15,NA,12508,1062,22341,NA
16,4,33075,2487,28379,NA
17,11739,7286,1094,49575,NA
18,NA,17208,1404,45210,NA
19,NA,15944,4164,42420,NA
20,NA,21913,4494,75898,NA
21,1647,29381,4459,61420,NA
22,3,29254,3011,63958,NA
23,8,35090,2674,63858,NA
24,NA,27114,2646,88328,NA
25,9,31766,4893,58508,NA
26,5578,26914,6983,83619,NA
27,407,21703,5308,59343,NA
28,2230,19159,3716,67739,NA
29,908,11849,15678,53333,NA
30,2649,20152,3848,69240,NA
31,NA,NA,NA,NA,49942
32,NA,NA,NA,NA,46114
33,NA,NA,NA,NA,46675
34,NA,NA,NA,NA,26702
35,NA,NA,NA,NA,35957
36,NA,NA,NA,NA,18773
37,NA,NA,NA,NA,24553
38,NA,NA,NA,NA,22052
39,NA,NA,NA,NA,19678
40,NA,NA,NA,NA,14488
41,NA,NA,NA,NA,13706
42,NA,NA,NA,NA,12297
43,NA,NA,NA,NA,8444
44,NA,NA,NA,NA,9322
45,NA,NA,NA,NA,8229
46,NA,NA,NA,NA,9104
47,NA,NA,NA,NA,5595
48,NA,NA,NA,NA,5572
49,NA,NA,NA,NA,4972
50,NA,NA,NA,NA,3931
51,NA,NA,NA,NA,3434
52,NA,NA,NA,NA,3870
53,NA,NA,NA,NA,3255
54,NA,NA,NA,NA,2663
55,NA,NA,NA,NA,2276
56,NA,NA,NA,NA,2349
57,NA,NA,NA,NA,1490
58,NA,NA,NA,NA,2095
59,NA,NA,NA,NA,1576
60,NA,NA,NA,NA,1199
61,NA,NA,NA,NA,1401
62,NA,NA,NA,NA,1084
63,NA,NA,NA,NA,983
64,NA,NA,NA,NA,1031
65,NA,NA,NA,NA,819
66,NA,NA,NA,NA,1083
67,NA,NA,NA,NA,521
68,NA,NA,NA,NA,513
69,NA,NA,NA,NA,542
70,NA,NA,NA,NA,484
71,NA,NA,NA,NA,247
72,NA,NA,NA,NA,165
73,NA,NA,NA,NA,360
74,NA,NA,NA,NA,231
75,NA,NA,NA,NA,146
76,NA,NA,NA,NA,115
77,NA,NA,NA,NA,344
78,NA,NA,NA,NA,97
79,NA,NA,NA,NA,81
80,NA,NA,NA,NA,93
81,NA,NA,NA,NA,70
82,NA,NA,NA,NA,63
83,NA,NA,NA,NA,67
84,NA,NA,NA,NA,65
85,NA,NA,NA,NA,37
86,NA,NA,NA,NA,38
87,NA,NA,NA,NA,30
88,NA,NA,NA,NA,37
89,NA,NA,NA,NA,12
90,NA,NA,NA,NA,14
91,NA,NA,NA,NA,12
92,NA,NA,NA,NA,9
93,NA,NA,NA,NA,20
94,NA,NA,NA,NA,8
95,NA,NA,NA,NA,3
96,NA,NA,NA,NA,8
97,NA,NA,NA,NA,5
98,NA,NA,NA,NA,4
99,NA,NA,NA,NA,4
100,NA,NA,NA,NA,3
102,NA,NA,NA,NA,4
103,NA,NA,NA,NA,7
104,NA,NA,NA,NA,1
105,NA,NA,NA,NA,3
106,NA,NA,NA,NA,2
108,NA,NA,NA,NA,1
109,NA,NA,NA,NA,1
110,NA,NA,NA,NA,6
112,NA,NA,NA,NA,2
