status,distance,duration,duration_in_traffic,origin,destination,mode,traffic,departure_time
OK,33289,1614,1654,"19208 Alovera, Guadalajara, Spain","28864 Ajalvir, Madrid, Spain",driving,best_guess,1530000000
OK,110706,4426,4530,"19208 Alovera, Guadalajara, Spain","28749 Alameda del Valle, Madrid, Spain",driving,best_guess,1530000000
OK,91518,3701,3770,"19208 Alovera, Guadalajara, Spain","28607 El Álamo, Madrid, Spain",driving,best_guess,1530000000
OK,20100,1442,1500,"19208 Alovera, Guadalajara, Spain","Alcala de Henares, Madrid, Spain",driving,best_guess,1530000000
OK,45228,2098,2163,"19208 Alovera, Guadalajara, Spain","Alcobendas, Madrid, Spain",driving,best_guess,1530000000
OK,67579,2936,2972,"19208 Alovera, Guadalajara, Spain","Alcorcón, Madrid, Spain",driving,best_guess,1530000000
OK,104618,4412,4485,"19208 Alovera, Guadalajara, Spain","28620 Aldea del Fresno, Madrid, Spain",driving,best_guess,1530000000
OK,41482,1840,1887,"19208 Alovera, Guadalajara, Spain","28110 Algete, Madrid, Spain",driving,best_guess,1530000000
OK,47266,2597,2649,"19208 Alovera, Guadalajara, Spain","28580 Ambite, Madrid, Spain",driving,best_guess,1530000000
OK,24197,1491,1508,"19208 Alovera, Guadalajara, Spain","28818 Anchuelo, Madrid, Spain",driving,best_guess,1530000000
OK,93467,3833,3909,"19208 Alovera, Guadalajara, Spain","28300 Aranjuez, Madrid, Spain",driving,best_guess,1530000000
OK,46956,2215,2283,"19208 Alovera, Guadalajara, Spain","Arganda del Rey, 28500, Madrid, Spain",driving,best_guess,1530000000
OK,82797,3421,3454,"19208 Alovera, Guadalajara, Spain","28939 Arroyomolinos, Madrid, Spain",driving,best_guess,1530000000
OK,77275,3083,3103,"19208 Alovera, Guadalajara, Spain","Boadilla del Monte, Madrid, Spain",driving,best_guess,1530000000
OK,101955,3891,3955,"19208 Alovera, Guadalajara, Spain","28737 Braojos, Madrid, Spain",driving,best_guess,1530000000
OK,15945,1199,1229,"19208 Alovera, Guadalajara, Spain","28816 Camarma de Esteruelas, Madrid, Spain",driving,best_guess,1530000000
OK,46215,2346,2431,"19208 Alovera, Guadalajara, Spain","28510 Campo Real, Madrid, Spain",driving,best_guess,1530000000
OK,80530,3439,3506,"19208 Alovera, Guadalajara, Spain","28350 Ciempozuelos, Madrid, Spain",driving,best_guess,1530000000
OK,36712,1735,1772,"19208 Alovera, Guadalajara, Spain","28863 Cobeña, Madrid, Spain",driving,best_guess,1530000000
OK,78471,3503,3635,"19208 Alovera, Guadalajara, Spain","28380 Colmenar de Oreja, Madrid, Spain",driving,best_guess,1530000000
OK,88856,3932,4047,"19208 Alovera, Guadalajara, Spain","Colmenarejo, Madrid, Spain",driving,best_guess,1530000000
OK,73543,3240,3369,"19208 Alovera, Guadalajara, Spain","28770 Colmenar Viejo, Madrid, Spain",driving,best_guess,1530000000
OK,99346,4059,4181,"19208 Alovera, Guadalajara, Spain","Collado Mediano, Madrid, Spain",driving,best_guess,1530000000
OK,92700,3677,3795,"19208 Alovera, Guadalajara, Spain","28400 Collado Villalba, Madrid, Spain",driving,best_guess,1530000000
OK,39102,2213,2275,"19208 Alovera, Guadalajara, Spain","28811 Corpa, Madrid, Spain",driving,best_guess,1530000000
OK,41789,1893,1905,"19208 Alovera, Guadalajara, Spain","Coslada, Madrid, Spain",driving,best_guess,1530000000
OK,86187,3527,3576,"19208 Alovera, Guadalajara, Spain","28978 Cubas de la Sagra, Madrid, Spain",driving,best_guess,1530000000
OK,30879,1523,1566,"19208 Alovera, Guadalajara, Spain","28814 Daganzo de Arriba, Madrid, Spain",driving,best_guess,1530000000
OK,75078,3014,3045,"19208 Alovera, Guadalajara, Spain","Fuenlabrada, Madrid, Spain",driving,best_guess,1530000000
OK,45487,2058,2115,"19208 Alovera, Guadalajara, Spain","28140 Fuente el Saz de Jarama, Madrid, Spain",driving,best_guess,1530000000
OK,84272,3449,3518,"19208 Alovera, Guadalajara, Spain","28597 Fuentidueña de Tajo, Madrid, Spain",driving,best_guess,1530000000
OK,88027,3954,4061,"19208 Alovera, Guadalajara, Spain","Galapagar, Madrid, Spain",driving,best_guess,1530000000
OK,101525,3826,3890,"19208 Alovera, Guadalajara, Spain","28737 Gascones, Madrid, Spain",driving,best_guess,1530000000
OK,65025,2872,2909,"19208 Alovera, Guadalajara, Spain","Getafe, Madrid, Spain",driving,best_guess,1530000000
OK,88818,3444,3510,"19208 Alovera, Guadalajara, Spain","28971 Griñón, Madrid, Spain",driving,best_guess,1530000000
OK,100483,4179,4302,"19208 Alovera, Guadalajara, Spain","Guadarrama, 28440, Madrid, Spain",driving,best_guess,1530000000
OK,78206,3248,3307,"19208 Alovera, Guadalajara, Spain","Humanes de Madrid, Madrid, Spain",driving,best_guess,1530000000
OK,70440,2919,2957,"19208 Alovera, Guadalajara, Spain","Leganés, Madrid, Spain",driving,best_guess,1530000000
OK,37330,1775,1826,"19208 Alovera, Guadalajara, Spain","28890 Loeches, Madrid, Spain",driving,best_guess,1530000000
OK,54872,2874,3034,"19208 Alovera, Guadalajara, Spain","Madrid, Spain",driving,best_guess,1530000000
OK,54907,2890,3068,"19208 Alovera, Guadalajara, Spain","Centro, Madrid, Spain",driving,best_guess,1530000000
OK,56858,2503,2519,"19208 Alovera, Guadalajara, Spain","Arganzuela, Madrid, Spain",driving,best_guess,1530000000
OK,51900,2428,2448,"19208 Alovera, Guadalajara, Spain","Retiro, Madrid, Spain",driving,best_guess,1530000000
OK,49883,2505,2791,"19208 Alovera, Guadalajara, Spain","Salamanca, Madrid, Spain",driving,best_guess,1530000000
OK,187663,7085,7248,"19208 Alovera, Guadalajara, Spain","05141 Chamartín, Ávila, Spain",driving,best_guess,1530000000
OK,51869,2696,2875,"19208 Alovera, Guadalajara, Spain","Tetuán, Madrid, Spain",driving,best_guess,1530000000
OK,51419,2649,2888,"19208 Alovera, Guadalajara, Spain","Chamberí, Madrid, Spain",driving,best_guess,1530000000
OK,65483,2983,3138,"19208 Alovera, Guadalajara, Spain","Fuencarral-El Pardo, 28048 Madrid, Spain",driving,best_guess,1530000000
OK,66329,2677,2774,"19208 Alovera, Guadalajara, Spain","Moncloa - Aravaca, Madrid, Spain",driving,best_guess,1530000000
OK,60090,2981,3001,"19208 Alovera, Guadalajara, Spain","Latina, Madrid, Spain",driving,best_guess,1530000000
OK,60725,2810,2823,"19208 Alovera, Guadalajara, Spain","Carabanchel, Madrid, Spain",driving,best_guess,1530000000
OK,58635,2695,2717,"19208 Alovera, Guadalajara, Spain","Usera, Madrid, Spain",driving,best_guess,1530000000
OK,53885,2477,2495,"19208 Alovera, Guadalajara, Spain","Puente de Vallecas, Madrid, Spain",driving,best_guess,1530000000
OK,50425,2234,2261,"19208 Alovera, Guadalajara, Spain","Moratalaz, 28030 Madrid, Spain",driving,best_guess,1530000000
OK,45945,2045,2073,"19208 Alovera, Guadalajara, Spain","Ciudad Lineal, Madrid, Spain",driving,best_guess,1530000000
OK,45870,2073,2105,"19208 Alovera, Guadalajara, Spain","Hortaleza, Madrid, Spain",driving,best_guess,1530000000
OK,59378,2740,2783,"19208 Alovera, Guadalajara, Spain","Villaverde, Madrid, Spain",driving,best_guess,1530000000
OK,50814,1921,1945,"19208 Alovera, Guadalajara, Spain","Villa de Vallecas, Madrid, Spain",driving,best_guess,1530000000
OK,50140,2350,2371,"19208 Alovera, Guadalajara, Spain","Vicálvaro, Madrid, Spain",driving,best_guess,1530000000
OK,45124,2137,2163,"19208 Alovera, Guadalajara, Spain","San Blas, Madrid, Spain",driving,best_guess,1530000000
OK,43440,2012,2043,"19208 Alovera, Guadalajara, Spain","Barajas, 28042 Madrid, Spain",driving,best_guess,1530000000
OK,72364,3003,3108,"19208 Alovera, Guadalajara, Spain","Majadahonda, Madrid, Spain",driving,best_guess,1530000000
OK,11139,832,854,"19208 Alovera, Guadalajara, Spain","28880 Meco, Madrid, Spain",driving,best_guess,1530000000
OK,36398,1775,1817,"19208 Alovera, Guadalajara, Spain","Mejorada del Campo, Madrid, Spain",driving,best_guess,1530000000
OK,92047,3882,4020,"19208 Alovera, Guadalajara, Spain","Moralzarzal, Madrid, Spain",driving,best_guess,1530000000
OK,74680,3283,3314,"19208 Alovera, Guadalajara, Spain","Móstoles, Madrid, Spain",driving,best_guess,1530000000
OK,86210,3496,3533,"19208 Alovera, Guadalajara, Spain","Navalcarnero, 28600, Madrid, Spain",driving,best_guess,1530000000
OK,43953,1894,1918,"19208 Alovera, Guadalajara, Spain","Paracuellos de Jarama, Madrid, Spain",driving,best_guess,1530000000
OK,74487,3016,3057,"19208 Alovera, Guadalajara, Spain","Parla, Madrid, Spain",driving,best_guess,1530000000
OK,69315,2681,2717,"19208 Alovera, Guadalajara, Spain","28320 Pinto, Madrid, Spain",driving,best_guess,1530000000
OK,66978,2768,2863,"19208 Alovera, Guadalajara, Spain","Pozuelo de Alarcón, Madrid, Spain",driving,best_guess,1530000000
OK,53075,2317,2345,"19208 Alovera, Guadalajara, Spain","Rivas-Vaciamadrid, Madrid, Spain",driving,best_guess,1530000000
OK,71686,2921,3020,"19208 Alovera, Guadalajara, Spain","Las Rozas, Madrid, Spain",driving,best_guess,1530000000
OK,55104,2325,2376,"19208 Alovera, Guadalajara, Spain","28750 San Agustín del Guadalix, Madrid, Spain",driving,best_guess,1530000000
OK,40116,1680,1697,"19208 Alovera, Guadalajara, Spain","San Fernando de Henares, 28830, Madrid, Spain",driving,best_guess,1530000000
OK,45338,2095,2138,"19208 Alovera, Guadalajara, Spain","San Sebastián de los Reyes, Madrid, Spain",driving,best_guess,1530000000
OK,17199,925,948,"19208 Alovera, Guadalajara, Spain","28817 Los Santos de la Humosa, Madrid, Spain",driving,best_guess,1530000000
OK,82397,3373,3529,"19208 Alovera, Guadalajara, Spain","28791 Soto del Real, Madrid, Spain",driving,best_guess,1530000000
OK,30617,1644,1675,"19208 Alovera, Guadalajara, Spain","Torrejón de Ardoz, Madrid, Spain",driving,best_guess,1530000000
OK,34965,1665,1732,"19208 Alovera, Guadalajara, Spain","28813 Torres de la Alameda, Madrid, Spain",driving,best_guess,1530000000
OK,15671,1232,1258,"19208 Alovera, Guadalajara, Spain","Valdeavero, Madrid, Spain",driving,best_guess,1530000000
OK,72437,2769,2809,"19208 Alovera, Guadalajara, Spain","Valdemoro, Madrid, Spain",driving,best_guess,1530000000
OK,40069,1984,2014,"19208 Alovera, Guadalajara, Spain","Velilla de San Antonio, Madrid, Spain",driving,best_guess,1530000000
OK,34460,1818,1868,"19208 Alovera, Guadalajara, Spain","28810 Villalbilla, Madrid, Spain",driving,best_guess,1530000000
OK,89828,3713,3831,"19208 Alovera, Guadalajara, Spain","28691 Villanueva de la Cañada, Madrid, Spain",driving,best_guess,1530000000
OK,79437,3285,3316,"19208 Alovera, Guadalajara, Spain","Villaviciosa de Odón, Madrid, Spain",driving,best_guess,1530000000
OK,87028,3250,3308,"19208 Alovera, Guadalajara, Spain","28752 Lozoyuela, Madrid, Spain",driving,best_guess,1530000000
OK,61719,2587,2690,"19208 Alovera, Guadalajara, Spain","28760 Tres Cantos, Madrid, Spain",driving,best_guess,1530000000
OK,27556,1454,1504,"19200 Azuqueca de Henares, Guadalajara, Spain","28864 Ajalvir, Madrid, Spain",driving,best_guess,1530000000
OK,85785,3541,3621,"19200 Azuqueca de Henares, Guadalajara, Spain","28607 El Álamo, Madrid, Spain",driving,best_guess,1530000000
OK,14366,1282,1352,"19200 Azuqueca de Henares, Guadalajara, Spain","Alcala de Henares, Madrid, Spain",driving,best_guess,1530000000
OK,39579,1945,2009,"19200 Azuqueca de Henares, Guadalajara, Spain","Alcobendas, Madrid, Spain",driving,best_guess,1530000000
OK,61846,2776,2825,"19200 Azuqueca de Henares, Guadalajara, Spain","Alcorcón, Madrid, Spain",driving,best_guess,1530000000
OK,98885,4252,4336,"19200 Azuqueca de Henares, Guadalajara, Spain","28620 Aldea del Fresno, Madrid, Spain",driving,best_guess,1530000000
OK,35749,1680,1739,"19200 Azuqueca de Henares, Guadalajara, Spain","28110 Algete, Madrid, Spain",driving,best_guess,1530000000
OK,41533,2437,2499,"19200 Azuqueca de Henares, Guadalajara, Spain","28580 Ambite, Madrid, Spain",driving,best_guess,1530000000
OK,18464,1331,1361,"19200 Azuqueca de Henares, Guadalajara, Spain","28818 Anchuelo, Madrid, Spain",driving,best_guess,1530000000
OK,87734,3673,3759,"19200 Azuqueca de Henares, Guadalajara, Spain","28300 Aranjuez, Madrid, Spain",driving,best_guess,1530000000
