status,origin,origin_code,destination,destination_code,mode,traffic,distance,duration,duration_in_traffic,departure_time
OK,Alovera,19024,Ajalvir,28002,bicycling,NA,26531,5730,5730,1530000000
OK,Alovera,19024,Alameda del Valle,28003,bicycling,NA,85791,19364,19364,1530000000
OK,Alovera,19024,El Alamo,28004,bicycling,NA,100530,19778,19778,1530000000
OK,Alovera,19024,Alcalá de Henares,28005,bicycling,NA,19790,3628,3628,1530000000
OK,Alovera,19024,Alcobendas,28006,bicycling,NA,42642,9318,9318,1530000000
OK,Alovera,19024,Alcorcón,28007,bicycling,NA,74651,15443,15443,1530000000
OK,Alovera,19024,Aldea del Fresno,28008,bicycling,NA,113958,22084,22084,1530000000
OK,Alovera,19024,Algete,28009,bicycling,NA,28010,6325,6325,1530000000
OK,Alovera,19024,Ambite,28011,bicycling,NA,39720,8450,8450,1530000000
OK,Alovera,19024,Anchuelo,28012,bicycling,NA,21456,5287,5287,1530000000
OK,Alovera,19024,Aranjuez,28013,bicycling,NA,82345,15676,15676,1530000000
OK,Alovera,19024,Arganda del Rey,28014,bicycling,NA,42647,8531,8531,1530000000
OK,Alovera,19024,Arroyomolinos,28015,bicycling,NA,90941,18305,18305,1530000000
OK,Alovera,19024,Boadilla del Monte,28022,bicycling,NA,81672,16670,16670,1530000000
OK,Alovera,19024,Braojos,28024,bicycling,NA,75584,17670,17670,1530000000
OK,Alovera,19024,Camarma de Esteruelas,28032,bicycling,NA,15302,2963,2963,1530000000
OK,Alovera,19024,Campo Real,28033,bicycling,NA,39561,8710,8710,1530000000
OK,Alovera,19024,Ciempozuelos,28040,bicycling,NA,67242,13215,13215,1530000000
OK,Alovera,19024,Cobeña,28041,bicycling,NA,29810,6501,6501,1530000000
OK,Alovera,19024,Colmenar de Oreja,28043,bicycling,NA,69387,14981,14981,1530000000
OK,Alovera,19024,Colmenarejo,28044,bicycling,NA,88389,19492,19492,1530000000
OK,Alovera,19024,Colmenar Viejo,28045,bicycling,NA,59680,13455,13455,1530000000
OK,Alovera,19024,Collado Mediano,28046,bicycling,NA,84917,18944,18944,1530000000
OK,Alovera,19024,Collado Villalba,28047,bicycling,NA,86293,18851,18851,1530000000
OK,Alovera,19024,Corpa,28048,bicycling,NA,26313,6316,6316,1530000000
OK,Alovera,19024,Coslada,28049,bicycling,NA,41047,7912,7912,1530000000
OK,Alovera,19024,Cubas de la Sagra,28050,bicycling,NA,83988,16007,16007,1530000000
OK,Alovera,19024,Daganzo de Arriba,28053,bicycling,NA,25025,5342,5342,1530000000
OK,Alovera,19024,Fuenlabrada,28058,bicycling,NA,73416,14800,14800,1530000000
OK,Alovera,19024,Fuente el Saz de Jarama,28059,bicycling,NA,30873,6706,6706,1530000000
OK,Alovera,19024,Fuentidueña de Tajo,28060,bicycling,NA,68796,14220,14220,1530000000
OK,Alovera,19024,Galapagar,28061,bicycling,NA,86449,19035,19035,1530000000
OK,Alovera,19024,Gascones,28064,bicycling,NA,72428,16420,16420,1530000000
OK,Alovera,19024,Getafe,28065,bicycling,NA,65486,12497,12497,1530000000
OK,Alovera,19024,Griñón,28066,bicycling,NA,85386,16199,16199,1530000000
OK,Alovera,19024,Guadarrama,28068,bicycling,NA,90998,20094,20094,1530000000
OK,Alovera,19024,Humanes de Madrid,28073,bicycling,NA,77141,15598,15598,1530000000
OK,Alovera,19024,Leganés,28074,bicycling,NA,68655,13923,13923,1530000000
OK,Alovera,19024,Loeches,28075,bicycling,NA,33861,6822,6822,1530000000
OK,Alovera,19024,Madrid,28079,bicycling,NA,56324,11422,11422,1530000000
OK,Alovera,19024,Centro,28079-01,bicycling,NA,56816,11509,11509,1530000000
OK,Alovera,19024,Arganzuela,28079-02,bicycling,NA,61476,12107,12107,1530000000
OK,Alovera,19024,Retiro,28079-03,bicycling,NA,53136,10781,10781,1530000000
OK,Alovera,19024,Salamanca,28079-04,bicycling,NA,54547,10988,10988,1530000000
OK,Alovera,19024,Chamartín,28079-05,bicycling,NA,174503,39336,39336,1530000000
OK,Alovera,19024,Tetuán,28079-06,bicycling,NA,57399,11762,11762,1530000000
OK,Alovera,19024,Chamberí,28079-07,bicycling,NA,57523,11705,11705,1530000000
OK,Alovera,19024,Fuencarral-El Pardo,28079-08,bicycling,NA,59265,12568,12568,1530000000
OK,Alovera,19024,Moncloa-Aravaca,28079-09,bicycling,NA,68723,13574,13574,1530000000
OK,Alovera,19024,Latina,28079-10,bicycling,NA,65866,13221,13221,1530000000
OK,Alovera,19024,Carabanchel,28079-11,bicycling,NA,64871,13364,13364,1530000000
OK,Alovera,19024,Usera,28079-12,bicycling,NA,60763,12061,12061,1530000000
OK,Alovera,19024,Puente de Vallecas,28079-13,bicycling,NA,55365,10873,10873,1530000000
OK,Alovera,19024,Moratalaz,28079-14,bicycling,NA,51535,10300,10300,1530000000
OK,Alovera,19024,Ciudad Lineal,28079-15,bicycling,NA,52225,10597,10597,1530000000
OK,Alovera,19024,Hortaleza,28079-16,bicycling,NA,51489,10423,10423,1530000000
