status,distance,duration,duration_in_traffic,origin,destination,mode,traffic,departure_time
OK,33289,1613,1494,"19208 Alovera, Guadalajara, Spain","28864 Ajalvir, Madrid, Spain",driving,optimistic,1530000000
OK,110706,4428,4175,"19208 Alovera, Guadalajara, Spain","28749 Alameda del Valle, Madrid, Spain",driving,optimistic,1530000000
OK,91518,3709,3461,"19208 Alovera, Guadalajara, Spain","28607 El Álamo, Madrid, Spain",driving,optimistic,1530000000
OK,20100,1442,1244,"19208 Alovera, Guadalajara, Spain","Alcala de Henares, Madrid, Spain",driving,optimistic,1530000000
OK,45228,2097,1923,"19208 Alovera, Guadalajara, Spain","Alcobendas, Madrid, Spain",driving,optimistic,1530000000
OK,67579,2938,2710,"19208 Alovera, Guadalajara, Spain","Alcorcón, Madrid, Spain",driving,optimistic,1530000000
OK,104618,4415,4134,"19208 Alovera, Guadalajara, Spain","28620 Aldea del Fresno, Madrid, Spain",driving,optimistic,1530000000
OK,41482,1841,1724,"19208 Alovera, Guadalajara, Spain","28110 Algete, Madrid, Spain",driving,optimistic,1530000000
OK,47266,2601,2454,"19208 Alovera, Guadalajara, Spain","28580 Ambite, Madrid, Spain",driving,optimistic,1530000000
OK,24197,1489,1415,"19208 Alovera, Guadalajara, Spain","28818 Anchuelo, Madrid, Spain",driving,optimistic,1530000000
OK,93467,3841,3554,"19208 Alovera, Guadalajara, Spain","28300 Aranjuez, Madrid, Spain",driving,optimistic,1530000000
OK,46956,2216,2057,"19208 Alovera, Guadalajara, Spain","Arganda del Rey, 28500, Madrid, Spain",driving,optimistic,1530000000
OK,82797,3421,3164,"19208 Alovera, Guadalajara, Spain","28939 Arroyomolinos, Madrid, Spain",driving,optimistic,1530000000
OK,77275,3083,2849,"19208 Alovera, Guadalajara, Spain","Boadilla del Monte, Madrid, Spain",driving,optimistic,1530000000
OK,101955,3888,3658,"19208 Alovera, Guadalajara, Spain","28737 Braojos, Madrid, Spain",driving,optimistic,1530000000
OK,15945,1201,1142,"19208 Alovera, Guadalajara, Spain","28816 Camarma de Esteruelas, Madrid, Spain",driving,optimistic,1530000000
