status,origin,origin_code,destination,destination_code,mode,traffic,distance,duration,duration_in_traffic,departure_time
OK,Alovera,19024,Ajalvir,28002,driving,pessimistic,33289,1613,1917,1530000000
OK,Alovera,19024,Alameda del Valle,28003,driving,pessimistic,110706,4428,5164,1530000000
OK,Alovera,19024,El Alamo,28004,driving,pessimistic,91518,3709,4343,1530000000
OK,Alovera,19024,Alcalá de Henares,28005,driving,pessimistic,20100,1442,1836,1530000000
OK,Alovera,19024,Alcobendas,28006,driving,pessimistic,45228,2097,2540,1530000000
OK,Alovera,19024,Alcorcón,28007,driving,pessimistic,67579,2938,3444,1530000000
OK,Alovera,19024,Aldea del Fresno,28008,driving,pessimistic,104618,4415,5179,1530000000
OK,Alovera,19024,Algete,28009,driving,pessimistic,41482,1841,2169,1530000000
OK,Alovera,19024,Ambite,28011,driving,pessimistic,47266,2601,2853,1530000000
OK,Alovera,19024,Anchuelo,28012,driving,pessimistic,24197,1489,1657,1530000000
OK,Alovera,19024,Aranjuez,28013,driving,pessimistic,93467,3841,4632,1530000000
OK,Alovera,19024,Arganda del Rey,28014,driving,pessimistic,46956,2216,2616,1530000000
OK,Alovera,19024,Arroyomolinos,28015,driving,pessimistic,82797,3421,3981,1530000000
OK,Alovera,19024,Boadilla del Monte,28022,driving,pessimistic,77275,3083,3614,1530000000
OK,Alovera,19024,Braojos,28024,driving,pessimistic,101955,3888,4586,1530000000
OK,Alovera,19024,Camarma de Esteruelas,28032,driving,pessimistic,15945,1201,1278,1530000000
OK,Alovera,19024,Campo Real,28033,driving,pessimistic,46215,2344,2741,1530000000
OK,Alovera,19024,Ciempozuelos,28040,driving,pessimistic,80530,3442,4093,1530000000
OK,Alovera,19024,Cobeña,28041,driving,pessimistic,36712,1736,2020,1530000000
OK,Alovera,19024,Colmenar de Oreja,28043,driving,pessimistic,78471,3504,4129,1530000000
OK,Alovera,19024,Colmenarejo,28044,driving,pessimistic,88856,3930,4711,1530000000
OK,Alovera,19024,Colmenar Viejo,28045,driving,pessimistic,73543,3237,3898,1530000000
OK,Alovera,19024,Collado Mediano,28046,driving,pessimistic,99346,4056,4895,1530000000
OK,Alovera,19024,Collado Villalba,28047,driving,pessimistic,92700,3675,4417,1530000000
OK,Alovera,19024,Corpa,28048,driving,pessimistic,39102,2215,2611,1530000000
OK,Alovera,19024,Coslada,28049,driving,pessimistic,41789,1891,2218,1530000000
OK,Alovera,19024,Cubas de la Sagra,28050,driving,pessimistic,86187,3526,4147,1530000000
OK,Alovera,19024,Daganzo de Arriba,28053,driving,pessimistic,30879,1522,1803,1530000000
OK,Alovera,19024,Fuenlabrada,28058,driving,pessimistic,75078,3009,3701,1530000000
OK,Alovera,19024,Fuente el Saz de Jarama,28059,driving,pessimistic,45487,2058,2414,1530000000
