status,distance,duration,origin,destination,mode,traffic,departure_time,origin_ine_code,dest_ine_code,duration_in_traffic
OK,69917,8465,"45210 Yuncos, Toledo, Spain","28864 Ajalvir, Madrid, Spain",transit,NA,1530000000,45205,28002,NA
ZERO_RESULTS,NA,NA,"45210 Yuncos, Toledo, Spain","28607 El Álamo, Madrid, Spain",transit,NA,1530000000,45205,28004,NA
OK,77401,8405,"45210 Yuncos, Toledo, Spain","Alcala de Henares, Madrid, Spain",transit,NA,1530000000,45205,28005,NA
OK,58221,7145,"45210 Yuncos, Toledo, Spain","Alcobendas, Madrid, Spain",transit,NA,1530000000,45205,28006,NA
OK,49737,6290,"45210 Yuncos, Toledo, Spain","Alcorcón, Madrid, Spain",transit,NA,1530000000,45205,28007,NA
OK,93399,10625,"45210 Yuncos, Toledo, Spain","28110 Algete, Madrid, Spain",transit,NA,1530000000,45205,28009,NA
OK,67034,7025,"45210 Yuncos, Toledo, Spain","28300 Aranjuez, Madrid, Spain",transit,NA,1530000000,45205,28013,NA
ZERO_RESULTS,NA,NA,"45210 Yuncos, Toledo, Spain","Arganda del Rey, 28500, Madrid, Spain",transit,NA,1530000000,45205,28014,NA
ZERO_RESULTS,NA,NA,"45210 Yuncos, Toledo, Spain","28939 Arroyomolinos, Madrid, Spain",transit,NA,1530000000,45205,28015,NA
ZERO_RESULTS,NA,NA,"45210 Yuncos, Toledo, Spain","28976 Batres, Madrid, Spain",transit,NA,1530000000,45205,28017,NA
OK,71907,10474,"45210 Yuncos, Toledo, Spain","Boadilla del Monte, Madrid, Spain",transit,NA,1530000000,45205,28022,NA
OK,113666,13784,"45210 Yuncos, Toledo, Spain","28730 Buitrago del Lozoya, Madrid, Spain",transit,NA,1530000000,45205,28027,NA
OK,78756,9545,"45210 Yuncos, Toledo, Spain","28816 Camarma de Esteruelas, Madrid, Spain",transit,NA,1530000000,45205,28032,NA
ZERO_RESULTS,NA,NA,"45210 Yuncos, Toledo, Spain","Casarrubuelos, 28977, Madrid, Spain",transit,NA,1530000000,45205,28036,NA
OK,109027,10445,"45210 Yuncos, Toledo, Spain","Cercedilla, Madrid, Spain",transit,NA,1530000000,45205,28038,NA
OK,52304,6365,"45210 Yuncos, Toledo, Spain","28350 Ciempozuelos, Madrid, Spain",transit,NA,1530000000,45205,28040,NA
ZERO_RESULTS,NA,NA,"45210 Yuncos, Toledo, Spain","Colmenarejo, Madrid, Spain",transit,NA,1530000000,45205,28044,NA
OK,74499,19985,"45210 Yuncos, Toledo, Spain","28770 Colmenar Viejo, Madrid, Spain",transit,NA,1530000000,45205,28045,NA
OK,91338,9125,"45210 Yuncos, Toledo, Spain","28400 Collado Villalba, Madrid, Spain",transit,NA,1530000000,45205,28047,NA
OK,59009,7085,"45210 Yuncos, Toledo, Spain","Coslada, Madrid, Spain",transit,NA,1530000000,45205,28049,NA
ZERO_RESULTS,NA,NA,"45210 Yuncos, Toledo, Spain","28978 Cubas de la Sagra, Madrid, Spain",transit,NA,1530000000,45205,28050,NA
