status,origin,origin_code,destination,destination_code,mode,traffic,distance,duration,duration_in_traffic,departure_time
OK,Alovera,19024,Ajalvir,28002,walking,NA,24675,18523,18523,1530000000
OK,Alovera,19024,Alameda del Valle,28003,walking,NA,81728,62601,62601,1530000000
OK,Alovera,19024,El Alamo,28004,walking,NA,89677,66720,66720,1530000000
OK,Alovera,19024,Alcalá de Henares,28005,walking,NA,18343,13419,13419,1530000000
OK,Alovera,19024,Alcobendas,28006,walking,NA,40926,30648,30648,1530000000
OK,Alovera,19024,Alcorcón,28007,walking,NA,66736,50033,50033,1530000000
OK,Alovera,19024,Aldea del Fresno,28008,walking,NA,102882,75943,75943,1530000000
OK,Alovera,19024,Algete,28009,walking,NA,26478,19925,19925,1530000000
OK,Alovera,19024,Ambite,28011,walking,NA,38466,28994,28994,1530000000
OK,Alovera,19024,Anchuelo,28012,walking,NA,20137,15600,15600,1530000000
OK,Alovera,19024,Aranjuez,28013,walking,NA,77937,57478,57478,1530000000
OK,Alovera,19024,Arganda del Rey,28014,walking,NA,40729,30192,30192,1530000000
OK,Alovera,19024,Arroyomolinos,28015,walking,NA,78423,58648,58648,1530000000
OK,Alovera,19024,Boadilla del Monte,28022,walking,NA,70723,52854,52854,1530000000
OK,Alovera,19024,Braojos,28024,walking,NA,74154,56392,56392,1530000000
OK,Alovera,19024,Camarma de Esteruelas,28032,walking,NA,14276,10578,10578,1530000000
OK,Alovera,19024,Campo Real,28033,walking,NA,37012,28089,28089,1530000000
OK,Alovera,19024,Ciempozuelos,28040,walking,NA,64919,47943,47943,1530000000
OK,Alovera,19024,Cobeña,28041,walking,NA,27295,20430,20430,1530000000
OK,Alovera,19024,Colmenar de Oreja,28043,walking,NA,66409,50094,50094,1530000000
OK,Alovera,19024,Colmenarejo,28044,walking,NA,83362,62585,62585,1530000000
OK,Alovera,19024,Colmenar Viejo,28045,walking,NA,57969,43823,43823,1530000000
OK,Alovera,19024,Collado Mediano,28046,walking,NA,82308,62290,62290,1530000000
OK,Alovera,19024,Collado Villalba,28047,walking,NA,83053,62406,62406,1530000000
OK,Alovera,19024,Corpa,28048,walking,NA,25100,19449,19449,1530000000
OK,Alovera,19024,Coslada,28049,walking,NA,38174,28258,28258,1530000000
OK,Alovera,19024,Cubas de la Sagra,28050,walking,NA,80264,59111,59111,1530000000
OK,Alovera,19024,Daganzo de Arriba,28053,walking,NA,21768,16273,16273,1530000000
OK,Alovera,19024,Fuenlabrada,28058,walking,NA,68411,51023,51023,1530000000
OK,Alovera,19024,Fuente el Saz de Jarama,28059,walking,NA,28441,21242,21242,1530000000
OK,Alovera,19024,Fuentidueña de Tajo,28060,walking,NA,65274,48653,48653,1530000000
OK,Alovera,19024,Galapagar,28061,walking,NA,82849,62255,62255,1530000000
OK,Alovera,19024,Gascones,28064,walking,NA,71078,53719,53719,1530000000
OK,Alovera,19024,Getafe,28065,walking,NA,62884,46387,46387,1530000000
OK,Alovera,19024,Griñón,28066,walking,NA,78330,58451,58451,1530000000
OK,Alovera,19024,Guadarrama,28068,walking,NA,88264,66610,66610,1530000000
OK,Alovera,19024,Humanes de Madrid,28073,walking,NA,71876,53734,53734,1530000000
OK,Alovera,19024,Leganés,28074,walking,NA,63070,47148,47148,1530000000
OK,Alovera,19024,Loeches,28075,walking,NA,31465,23535,23535,1530000000
OK,Alovera,19024,Madrid,28079,walking,NA,52413,39086,39086,1530000000
OK,Alovera,19024,Centro,28079-01,walking,NA,52720,39246,39246,1530000000
OK,Alovera,19024,Arganzuela,28079-02,walking,NA,53348,39629,39629,1530000000
OK,Alovera,19024,Retiro,28079-03,walking,NA,49286,36673,36673,1530000000
OK,Alovera,19024,Salamanca,28079-04,walking,NA,51701,38501,38501,1530000000
OK,Alovera,19024,Chamartín,28079-05,walking,NA,171362,129412,129412,1530000000
OK,Alovera,19024,Tetuán,28079-06,walking,NA,53481,40342,40342,1530000000
OK,Alovera,19024,Chamberí,28079-07,walking,NA,54274,40517,40517,1530000000
OK,Alovera,19024,Fuencarral-El Pardo,28079-08,walking,NA,56085,41719,41719,1530000000
OK,Alovera,19024,Moncloa-Aravaca,28079-09,walking,NA,58308,43410,43410,1530000000
OK,Alovera,19024,Latina,28079-10,walking,NA,56701,42230,42230,1530000000
OK,Alovera,19024,Carabanchel,28079-11,walking,NA,57610,43022,43022,1530000000
OK,Alovera,19024,Usera,28079-12,walking,NA,54503,40496,40496,1530000000
OK,Alovera,19024,Puente de Vallecas,28079-13,walking,NA,49971,37054,37054,1530000000
OK,Alovera,19024,Moratalaz,28079-14,walking,NA,47817,35459,35459,1530000000
OK,Alovera,19024,Ciudad Lineal,28079-15,walking,NA,50320,37468,37468,1530000000
OK,Alovera,19024,Hortaleza,28079-16,walking,NA,50073,37636,37636,1530000000
OK,Alovera,19024,Villaverde,28079-17,walking,NA,57277,42576,42576,1530000000
OK,Alovera,19024,Villa de Vallecas,28079-18,walking,NA,47679,35308,35308,1530000000
OK,Alovera,19024,Vicálvaro,28079-19,walking,NA,43724,32432,32432,1530000000
OK,Alovera,19024,San Blas - Canillejas,28079-20,walking,NA,47396,35211,35211,1530000000
OK,Alovera,19024,Barajas,28079-21,walking,NA,45648,33823,33823,1530000000
OK,Alovera,19024,Majadahonda,28080,walking,NA,70933,52915,52915,1530000000
OK,Alovera,19024,Meco,28083,walking,NA,9478,7013,7013,1530000000
OK,Alovera,19024,Mejorada del Campo,28084,walking,NA,35714,26247,26247,1530000000
OK,Alovera,19024,Moralzarzal,28090,walking,NA,77202,58181,58181,1530000000
OK,Alovera,19024,Móstoles,28092,walking,NA,71176,53283,53283,1530000000
OK,Alovera,19024,Navalcarnero,28096,walking,NA,86872,64626,64626,1530000000
OK,Alovera,19024,Paracuellos de Jarama,28104,walking,NA,29687,22426,22426,1530000000
OK,Alovera,19024,Parla,28106,walking,NA,70441,51933,51933,1530000000
OK,Alovera,19024,Pinto,28113,walking,NA,64653,47575,47575,1530000000
OK,Alovera,19024,Pozuelo de Alarcón,28115,walking,NA,63621,47497,47497,1530000000
OK,Alovera,19024,Rivas-Vaciamadrid,28123,walking,NA,43805,32378,32378,1530000000
OK,Alovera,19024,Las Rozas de Madrid,28127,walking,NA,68972,51402,51402,1530000000
OK,Alovera,19024,San Agustín del Guadalix,28129,walking,NA,44745,33331,33331,1530000000
OK,Alovera,19024,San Fernando de Henares,28130,walking,NA,32917,24173,24173,1530000000
OK,Alovera,19024,San Sebastián de los Reyes,28134,walking,NA,35928,26741,26741,1530000000
OK,Alovera,19024,Los Santos de la Humosa,28137,walking,NA,14671,11663,11663,1530000000
OK,Alovera,19024,Soto del Real,28144,walking,NA,60863,45883,45883,1530000000
OK,Alovera,19024,Torrejón de Ardoz,28148,walking,NA,28057,20666,20666,1530000000
OK,Alovera,19024,Torres de la Alameda,28154,walking,NA,27759,20811,20811,1530000000
OK,Alovera,19024,Valdeavero,28156,walking,NA,9489,7281,7281,1530000000
OK,Alovera,19024,Valdemoro,28161,walking,NA,66830,49606,49606,1530000000
OK,Alovera,19024,Velilla de San Antonio,28167,walking,NA,37803,27848,27848,1530000000
OK,Alovera,19024,Villalbilla,28172,walking,NA,25478,19605,19605,1530000000
OK,Alovera,19024,Villanueva de la Cañada,28176,walking,NA,82825,61799,61799,1530000000
OK,Alovera,19024,Villaviciosa de Odón,28181,walking,NA,73941,55005,55005,1530000000
OK,Alovera,19024,Lozoyuela-Navas-Sieteiglesias,28901,walking,NA,57572,43627,43627,1530000000
OK,Alovera,19024,Tres Cantos,28903,walking,NA,48735,36411,36411,1530000000
OK,Azuqueca de Henares,19046,Ajalvir,28002,walking,NA,20948,15831,15831,1530000000
OK,Azuqueca de Henares,19046,El Alamo,28004,walking,NA,86183,64117,64117,1530000000
OK,Azuqueca de Henares,19046,Alcalá de Henares,28005,walking,NA,14218,10326,10326,1530000000
OK,Azuqueca de Henares,19046,Alcobendas,28006,walking,NA,38203,28604,28604,1530000000
OK,Azuqueca de Henares,19046,Alcorcón,28007,walking,NA,63242,47430,47430,1530000000
OK,Azuqueca de Henares,19046,Aldea del Fresno,28008,walking,NA,99389,73340,73340,1530000000
OK,Azuqueca de Henares,19046,Algete,28009,walking,NA,23755,17881,17881,1530000000
