route,origin_ine_code,destination_ine_code,workers_count
19024 - 28002,19024,28002,19
19024 - 28003,19024,28003,1
19024 - 28004,19024,28004,3
19024 - 28005,19024,28005,382
19024 - 28006,19024,28006,81
19024 - 28007,19024,28007,17
19024 - 28008,19024,28008,1
19024 - 28009,19024,28009,6
19024 - 28011,19024,28011,2
19024 - 28012,19024,28012,2
19024 - 28013,19024,28013,11
19024 - 28014,19024,28014,22
19024 - 28015,19024,28015,5
19024 - 28022,19024,28022,6
19024 - 28024,19024,28024,3
19024 - 28032,19024,28032,10
19024 - 28033,19024,28033,2
19024 - 28040,19024,28040,5
19024 - 28041,19024,28041,2
19024 - 28043,19024,28043,2
19024 - 28044,19024,28044,1
19024 - 28045,19024,28045,2
19024 - 28046,19024,28046,1
19024 - 28047,19024,28047,5
19024 - 28048,19024,28048,1
19024 - 28049,19024,28049,52
19024 - 28050,19024,28050,1
19024 - 28053,19024,28053,6
19024 - 28058,19024,28058,11
19024 - 28059,19024,28059,1
19024 - 28060,19024,28060,1
19024 - 28061,19024,28061,2
19024 - 28064,19024,28064,1
19024 - 28065,19024,28065,18
19024 - 28066,19024,28066,1
19024 - 28068,19024,28068,6
19024 - 28073,19024,28073,1
19024 - 28074,19024,28074,6
19024 - 28075,19024,28075,8
19024 - 28079,19024,28079,6
19024 - 28079-01,19024,28079-01,25
19024 - 28079-02,19024,28079-02,23
19024 - 28079-03,19024,28079-03,26
19024 - 28079-04,19024,28079-04,42
19024 - 28079-05,19024,28079-05,38
19024 - 28079-06,19024,28079-06,46
19024 - 28079-07,19024,28079-07,32
19024 - 28079-08,19024,28079-08,23
19024 - 28079-09,19024,28079-09,28
19024 - 28079-10,19024,28079-10,10
19024 - 28079-11,19024,28079-11,11
19024 - 28079-12,19024,28079-12,11
19024 - 28079-13,19024,28079-13,11
19024 - 28079-14,19024,28079-14,5
19024 - 28079-15,19024,28079-15,36
19024 - 28079-16,19024,28079-16,53
19024 - 28079-17,19024,28079-17,18
19024 - 28079-18,19024,28079-18,18
19024 - 28079-19,19024,28079-19,8
19024 - 28079-20,19024,28079-20,77
19024 - 28079-21,19024,28079-21,46
19024 - 28080,19024,28080,3
19024 - 28083,19024,28083,81
19024 - 28084,19024,28084,2
19024 - 28090,19024,28090,1
19024 - 28092,19024,28092,2
19024 - 28096,19024,28096,2
19024 - 28104,19024,28104,4
19024 - 28106,19024,28106,3
19024 - 28113,19024,28113,6
19024 - 28115,19024,28115,9
19024 - 28123,19024,28123,4
19024 - 28127,19024,28127,7
19024 - 28129,19024,28129,3
19024 - 28130,19024,28130,31
19024 - 28134,19024,28134,15
19024 - 28137,19024,28137,3
19024 - 28144,19024,28144,1
19024 - 28148,19024,28148,49
19024 - 28154,19024,28154,4
19024 - 28156,19024,28156,2
19024 - 28161,19024,28161,2
19024 - 28167,19024,28167,7
19024 - 28172,19024,28172,3
19024 - 28176,19024,28176,1
19024 - 28181,19024,28181,1
19024 - 28901,19024,28901,2
19024 - 28903,19024,28903,19
19046 - 28002,19046,28002,37
19046 - 28004,19046,28004,16
19046 - 28005,19046,28005,1182
19046 - 28006,19046,28006,234
19046 - 28007,19046,28007,31
19046 - 28008,19046,28008,4
19046 - 28009,19046,28009,21
19046 - 28011,19046,28011,1
19046 - 28012,19046,28012,3
19046 - 28013,19046,28013,42
19046 - 28014,19046,28014,37
19046 - 28015,19046,28015,12
19046 - 28016,19046,28016,1
19046 - 28021,19046,28021,1
19046 - 28022,19046,28022,8
19046 - 28024,19046,28024,10
19046 - 28026,19046,28026,1
19046 - 28032,19046,28032,55
19046 - 28033,19046,28033,1
19046 - 28037,19046,28037,2
19046 - 28038,19046,28038,2
