status,distance.value,duration.value,origin,origin_ine_code,dest_ine_code,destination
OK,26531,5730,"19208 Alovera, Guadalajara, Spain",19024,28002,"28864 Ajalvir, Madrid, Spain"
OK,85791,19364,"19208 Alovera, Guadalajara, Spain",19024,28003,"28749 Alameda del Valle, Madrid, Spain"
OK,100530,19778,"19208 Alovera, Guadalajara, Spain",19024,28004,"28607 El Álamo, Madrid, Spain"
OK,19790,3628,"19208 Alovera, Guadalajara, Spain",19024,28005,"Alcala de Henares, Madrid, Spain"
OK,42642,9318,"19208 Alovera, Guadalajara, Spain",19024,28006,"Alcobendas, Madrid, Spain"
OK,74651,15443,"19208 Alovera, Guadalajara, Spain",19024,28007,"Alcorcón, Madrid, Spain"
OK,113958,22084,"19208 Alovera, Guadalajara, Spain",19024,28008,"28620 Aldea del Fresno, Madrid, Spain"
OK,28010,6325,"19208 Alovera, Guadalajara, Spain",19024,28009,"28110 Algete, Madrid, Spain"
OK,39720,8450,"19208 Alovera, Guadalajara, Spain",19024,28011,"28580 Ambite, Madrid, Spain"
OK,21456,5287,"19208 Alovera, Guadalajara, Spain",19024,28012,"28818 Anchuelo, Madrid, Spain"
OK,82345,15676,"19208 Alovera, Guadalajara, Spain",19024,28013,"28300 Aranjuez, Madrid, Spain"
OK,42647,8531,"19208 Alovera, Guadalajara, Spain",19024,28014,"Arganda del Rey, 28500, Madrid, Spain"
OK,90941,18305,"19208 Alovera, Guadalajara, Spain",19024,28015,"28939 Arroyomolinos, Madrid, Spain"
OK,81672,16670,"19208 Alovera, Guadalajara, Spain",19024,28022,"Boadilla del Monte, Madrid, Spain"
OK,75584,17670,"19208 Alovera, Guadalajara, Spain",19024,28024,"28737 Braojos, Madrid, Spain"
OK,15302,2963,"19208 Alovera, Guadalajara, Spain",19024,28032,"28816 Camarma de Esteruelas, Madrid, Spain"
OK,39561,8710,"19208 Alovera, Guadalajara, Spain",19024,28033,"28510 Campo Real, Madrid, Spain"
OK,67242,13215,"19208 Alovera, Guadalajara, Spain",19024,28040,"28350 Ciempozuelos, Madrid, Spain"
OK,29810,6501,"19208 Alovera, Guadalajara, Spain",19024,28041,"28863 Cobeña, Madrid, Spain"
