status,origin,origin_code,destination,destination_code,mode,traffic,distance,duration,duration_in_traffic,departure_time
OK,Alovera,19024,Ajalvir,28002,driving,best_guess,33289,1613,1652,1530000000
OK,Alovera,19024,Alameda del Valle,28003,driving,best_guess,110706,4428,4531,1530000000
OK,Alovera,19024,El Alamo,28004,driving,best_guess,91518,3709,3775,1530000000
OK,Alovera,19024,Alcalá de Henares,28005,driving,best_guess,20100,1442,1499,1530000000
OK,Alovera,19024,Alcobendas,28006,driving,best_guess,45228,2097,2162,1530000000
OK,Alovera,19024,Alcorcón,28007,driving,best_guess,67579,2938,2972,1530000000
OK,Alovera,19024,Aldea del Fresno,28008,driving,best_guess,104618,4415,4487,1530000000
OK,Alovera,19024,Algete,28009,driving,best_guess,41482,1841,1887,1530000000
OK,Alovera,19024,Ambite,28011,driving,best_guess,47266,2601,2649,1530000000
OK,Alovera,19024,Anchuelo,28012,driving,best_guess,24197,1489,1507,1530000000
OK,Alovera,19024,Aranjuez,28013,driving,best_guess,93467,3841,3911,1530000000
OK,Alovera,19024,Arganda del Rey,28014,driving,best_guess,46956,2217,2283,1530000000
OK,Alovera,19024,Arroyomolinos,28015,driving,best_guess,82797,3421,3453,1530000000
OK,Alovera,19024,Boadilla del Monte,28022,driving,best_guess,77275,3083,3102,1530000000
OK,Alovera,19024,Braojos,28024,driving,best_guess,101955,3888,3953,1530000000
OK,Alovera,19024,Camarma de Esteruelas,28032,driving,best_guess,15945,1201,1228,1530000000
OK,Alovera,19024,Campo Real,28033,driving,best_guess,46215,2345,2429,1530000000
OK,Alovera,19024,Ciempozuelos,28040,driving,best_guess,80530,3442,3504,1530000000
OK,Alovera,19024,Cobeña,28041,driving,best_guess,36712,1736,1771,1530000000
OK,Alovera,19024,Colmenar de Oreja,28043,driving,best_guess,78471,3504,3633,1530000000
OK,Alovera,19024,Colmenarejo,28044,driving,best_guess,88856,3947,4043,1530000000
OK,Alovera,19024,Colmenar Viejo,28045,driving,best_guess,73543,3237,3368,1530000000
OK,Alovera,19024,Collado Mediano,28046,driving,best_guess,99346,4073,4178,1530000000
OK,Alovera,19024,Collado Villalba,28047,driving,best_guess,92700,3691,3791,1530000000
OK,Alovera,19024,Corpa,28048,driving,best_guess,39102,2215,2275,1530000000
OK,Alovera,19024,Coslada,28049,driving,best_guess,41789,1891,1903,1530000000
OK,Alovera,19024,Cubas de la Sagra,28050,driving,best_guess,86187,3526,3572,1530000000
OK,Alovera,19024,Daganzo de Arriba,28053,driving,best_guess,30879,1522,1563,1530000000
OK,Alovera,19024,Fuenlabrada,28058,driving,best_guess,75078,3009,3043,1530000000
OK,Alovera,19024,Fuente el Saz de Jarama,28059,driving,best_guess,45487,2058,2114,1530000000
OK,Alovera,19024,Fuentidueña de Tajo,28060,driving,best_guess,84272,3449,3516,1530000000
