status,origin,origin_code,destination,destination_code,mode,traffic,distance,duration,duration_in_traffic,departure_time
OK,Alovera,19024,Ajalvir,28002,driving,optimistic,33289,1613,1494,1530000000
OK,Alovera,19024,Alameda del Valle,28003,driving,optimistic,110706,4428,4175,1530000000
OK,Alovera,19024,El Alamo,28004,driving,optimistic,91518,3709,3461,1530000000
OK,Alovera,19024,Alcalá de Henares,28005,driving,optimistic,20100,1442,1244,1530000000
OK,Alovera,19024,Alcobendas,28006,driving,optimistic,45228,2097,1923,1530000000
OK,Alovera,19024,Alcorcón,28007,driving,optimistic,67579,2938,2710,1530000000
OK,Alovera,19024,Aldea del Fresno,28008,driving,optimistic,104618,4415,4134,1530000000
OK,Alovera,19024,Algete,28009,driving,optimistic,41482,1841,1724,1530000000
OK,Alovera,19024,Ambite,28011,driving,optimistic,47266,2601,2454,1530000000
OK,Alovera,19024,Anchuelo,28012,driving,optimistic,24197,1489,1415,1530000000
OK,Alovera,19024,Aranjuez,28013,driving,optimistic,93467,3841,3554,1530000000
OK,Alovera,19024,Arganda del Rey,28014,driving,optimistic,46956,2216,2057,1530000000
OK,Alovera,19024,Arroyomolinos,28015,driving,optimistic,82797,3421,3164,1530000000
OK,Alovera,19024,Boadilla del Monte,28022,driving,optimistic,77275,3083,2849,1530000000
OK,Alovera,19024,Braojos,28024,driving,optimistic,101955,3888,3658,1530000000
OK,Alovera,19024,Camarma de Esteruelas,28032,driving,optimistic,15945,1201,1142,1530000000
OK,Alovera,19024,Campo Real,28033,driving,optimistic,46215,2344,2197,1530000000
OK,Alovera,19024,Ciempozuelos,28040,driving,optimistic,80530,3442,3175,1530000000
OK,Alovera,19024,Cobeña,28041,driving,optimistic,36712,1736,1633,1530000000
OK,Alovera,19024,Colmenar de Oreja,28043,driving,optimistic,78471,3504,3307,1530000000
OK,Alovera,19024,Colmenarejo,28044,driving,optimistic,88856,3930,3684,1530000000
OK,Alovera,19024,Colmenar Viejo,28045,driving,optimistic,73543,3237,3078,1530000000
OK,Alovera,19024,Collado Mediano,28046,driving,optimistic,99346,4056,3826,1530000000
OK,Alovera,19024,Collado Villalba,28047,driving,optimistic,92700,3675,3452,1530000000
OK,Alovera,19024,Corpa,28048,driving,optimistic,39102,2215,2062,1530000000
OK,Alovera,19024,Coslada,28049,driving,optimistic,41789,1891,1708,1530000000
