status,origin,origin_code,destination,destination_code,mode,traffic,distance,duration,duration_in_traffic,departure_time
OK,Alovera,19024,Ajalvir,28002,transit,NA,31692,4765,4765,1530000000
OK,Alovera,19024,Alameda del Valle,28003,transit,NA,145325,15565,15565,1530000000
ZERO_RESULTS,Alovera,19024,El Alamo,28004,transit,NA,NA,NA,NA,1530000000
OK,Alovera,19024,Alcalá de Henares,28005,transit,NA,13014,1645,1645,1530000000
OK,Alovera,19024,Alcobendas,28006,transit,NA,57387,7105,7105,1530000000
OK,Alovera,19024,Alcorcón,28007,transit,NA,65614,7750,7750,1530000000
ZERO_RESULTS,Alovera,19024,Aldea del Fresno,28008,transit,NA,NA,NA,NA,1530000000
OK,Alovera,19024,Algete,28009,transit,NA,37122,7045,7045,1530000000
ZERO_RESULTS,Alovera,19024,Ambite,28011,transit,NA,NA,NA,NA,1530000000
ZERO_RESULTS,Alovera,19024,Anchuelo,28012,transit,NA,NA,NA,NA,1530000000
OK,Alovera,19024,Aranjuez,28013,transit,NA,98072,9265,9265,1530000000
OK,Alovera,19024,Arganda del Rey,28014,transit,NA,58646,6776,6776,1530000000
ZERO_RESULTS,Alovera,19024,Arroyomolinos,28015,transit,NA,NA,NA,NA,1530000000
OK,Alovera,19024,Boadilla del Monte,28022,transit,NA,69548,10734,10734,1530000000
OK,Alovera,19024,Braojos,28024,transit,NA,127794,17605,17605,1530000000
OK,Alovera,19024,Camarma de Esteruelas,28032,transit,NA,24904,3985,3985,1530000000
ZERO_RESULTS,Alovera,19024,Campo Real,28033,transit,NA,NA,NA,NA,1530000000
OK,Alovera,19024,Ciempozuelos,28040,transit,NA,83342,8605,8605,1530000000
OK,Alovera,19024,Cobeña,28041,transit,NA,33715,6685,6685,1530000000
ZERO_RESULTS,Alovera,19024,Colmenar de Oreja,28043,transit,NA,NA,NA,NA,1530000000
ZERO_RESULTS,Alovera,19024,Colmenarejo,28044,transit,NA,NA,NA,NA,1530000000
OK,Alovera,19024,Colmenar Viejo,28045,transit,NA,75964,19225,19225,1530000000
OK,Alovera,19024,Collado Mediano,28046,transit,NA,107101,10705,10705,1530000000
OK,Alovera,19024,Collado Villalba,28047,transit,NA,96447,9925,9925,1530000000
ZERO_RESULTS,Alovera,19024,Corpa,28048,transit,NA,NA,NA,NA,1530000000
OK,Alovera,19024,Coslada,28049,transit,NA,35159,4225,4225,1530000000
ZERO_RESULTS,Alovera,19024,Cubas de la Sagra,28050,transit,NA,NA,NA,NA,1530000000
OK,Alovera,19024,Daganzo de Arriba,28053,transit,NA,29851,4405,4405,1530000000
OK,Alovera,19024,Fuenlabrada,28058,transit,NA,70611,7525,7525,1530000000
OK,Alovera,19024,Fuente el Saz de Jarama,28059,transit,NA,41769,7785,7785,1530000000
ZERO_RESULTS,Alovera,19024,Fuentidueña de Tajo,28060,transit,NA,NA,NA,NA,1530000000
OK,Alovera,19024,Galapagar,28061,transit,NA,80094,8776,8776,1530000000
OK,Alovera,19024,Gascones,28064,transit,NA,124120,17305,17305,1530000000
OK,Alovera,19024,Getafe,28065,transit,NA,64260,6625,6625,1530000000
ZERO_RESULTS,Alovera,19024,Griñón,28066,transit,NA,NA,NA,NA,1530000000
OK,Alovera,19024,Guadarrama,28068,transit,NA,104022,11065,11065,1530000000
OK,Alovera,19024,Humanes de Madrid,28073,transit,NA,74558,8425,8425,1530000000
OK,Alovera,19024,Leganés,28074,transit,NA,64989,7045,7045,1530000000
ZERO_RESULTS,Alovera,19024,Loeches,28075,transit,NA,NA,NA,NA,1530000000
OK,Alovera,19024,Madrid,28079,transit,NA,49932,5365,5365,1530000000
OK,Alovera,19024,Centro,28079-01,transit,NA,49036,6422,6422,1530000000
OK,Alovera,19024,Arganzuela,28079-02,transit,NA,51390,7040,7040,1530000000
OK,Alovera,19024,Retiro,28079-03,transit,NA,47615,6265,6265,1530000000
OK,Alovera,19024,Salamanca,28079-04,transit,NA,46725,5841,5841,1530000000
OK,Alovera,19024,Chamartín,28079-05,transit,NA,48870,6379,6379,1530000000
OK,Alovera,19024,Tetuán,28079-06,transit,NA,48545,6363,6363,1530000000
OK,Alovera,19024,Chamberí,28079-07,transit,NA,47574,5973,5973,1530000000
ZERO_RESULTS,Alovera,19024,Fuencarral-El Pardo,28079-08,transit,NA,NA,NA,NA,1530000000
OK,Alovera,19024,Moncloa-Aravaca,28079-09,transit,NA,57404,9075,9075,1530000000
OK,Alovera,19024,Latina,28079-10,transit,NA,55424,6668,6668,1530000000
OK,Alovera,19024,Carabanchel,28079-11,transit,NA,56322,8032,8032,1530000000
OK,Alovera,19024,Usera,28079-12,transit,NA,52560,6915,6915,1530000000
OK,Alovera,19024,Puente de Vallecas,28079-13,transit,NA,47127,6165,6165,1530000000
OK,Alovera,19024,Moratalaz,28079-14,transit,NA,49274,6358,6358,1530000000
OK,Alovera,19024,Ciudad Lineal,28079-15,transit,NA,42630,6131,6131,1530000000
OK,Alovera,19024,Hortaleza,28079-16,transit,NA,50362,6462,6462,1530000000
OK,Alovera,19024,Villaverde,28079-17,transit,NA,60735,6798,6798,1530000000
OK,Alovera,19024,Villa de Vallecas,28079-18,transit,NA,44981,5935,5935,1530000000
OK,Alovera,19024,Vicálvaro,28079-19,transit,NA,40680,5703,5703,1530000000
OK,Alovera,19024,San Blas - Canillejas,28079-20,transit,NA,42135,6183,6183,1530000000
OK,Alovera,19024,Barajas,28079-21,transit,NA,40254,5476,5476,1530000000
OK,Alovera,19024,Majadahonda,28080,transit,NA,75274,13105,13105,1530000000
OK,Alovera,19024,Meco,28083,transit,NA,25210,4188,4188,1530000000
ZERO_RESULTS,Alovera,19024,Mejorada del Campo,28084,transit,NA,NA,NA,NA,1530000000
ZERO_RESULTS,Alovera,19024,Moralzarzal,28090,transit,NA,NA,NA,NA,1530000000
OK,Alovera,19024,Móstoles,28092,transit,NA,71777,8479,8479,1530000000
OK,Alovera,19024,Navalcarnero,28096,transit,NA,83922,9934,9934,1530000000
OK,Alovera,19024,Paracuellos de Jarama,28104,transit,NA,37355,5441,5441,1530000000
OK,Alovera,19024,Parla,28106,transit,NA,75384,7710,7710,1530000000
OK,Alovera,19024,Pinto,28113,transit,NA,70532,8005,8005,1530000000
OK,Alovera,19024,Pozuelo de Alarcón,28115,transit,NA,60202,7165,7165,1530000000
OK,Alovera,19024,Rivas-Vaciamadrid,28123,transit,NA,49929,5858,5858,1530000000
OK,Alovera,19024,Las Rozas de Madrid,28127,transit,NA,64961,7285,7285,1530000000
OK,Alovera,19024,San Agustín del Guadalix,28129,transit,NA,74935,8905,8905,1530000000
OK,Alovera,19024,San Fernando de Henares,28130,transit,NA,40380,6205,6205,1530000000
OK,Alovera,19024,San Sebastián de los Reyes,28134,transit,NA,65039,9133,9133,1530000000
ZERO_RESULTS,Alovera,19024,Los Santos de la Humosa,28137,transit,NA,NA,NA,NA,1530000000
ZERO_RESULTS,Alovera,19024,Soto del Real,28144,transit,NA,NA,NA,NA,1530000000
OK,Alovera,19024,Torrejón de Ardoz,28148,transit,NA,27134,3685,3685,1530000000
OK,Alovera,19024,Torres de la Alameda,28154,transit,NA,27031,5425,5425,1530000000
OK,Alovera,19024,Valdeavero,28156,transit,NA,34435,4705,4705,1530000000
OK,Alovera,19024,Valdemoro,28161,transit,NA,76835,8305,8305,1530000000
ZERO_RESULTS,Alovera,19024,Velilla de San Antonio,28167,transit,NA,NA,NA,NA,1530000000
OK,Alovera,19024,Villalbilla,28172,transit,NA,33270,5407,5407,1530000000
OK,Alovera,19024,Villanueva de la Cañada,28176,transit,NA,108507,12085,12085,1530000000
OK,Alovera,19024,Villaviciosa de Odón,28181,transit,NA,72497,9915,9915,1530000000
OK,Alovera,19024,Lozoyuela-Navas-Sieteiglesias,28901,transit,NA,109208,12205,12205,1530000000
OK,Alovera,19024,Tres Cantos,28903,transit,NA,64487,9025,9025,1530000000
ZERO_RESULTS,Cabanillas del Campo,19058,Ajalvir,28002,transit,NA,NA,NA,NA,1530000000
ZERO_RESULTS,Cabanillas del Campo,19058,El Alamo,28004,transit,NA,NA,NA,NA,1530000000
ZERO_RESULTS,Cabanillas del Campo,19058,Alcalá de Henares,28005,transit,NA,NA,NA,NA,1530000000
ZERO_RESULTS,Cabanillas del Campo,19058,Alcobendas,28006,transit,NA,NA,NA,NA,1530000000
ZERO_RESULTS,Cabanillas del Campo,19058,Alcorcón,28007,transit,NA,NA,NA,NA,1530000000
ZERO_RESULTS,Cabanillas del Campo,19058,Algete,28009,transit,NA,NA,NA,NA,1530000000
ZERO_RESULTS,Cabanillas del Campo,19058,Anchuelo,28012,transit,NA,NA,NA,NA,1530000000
ZERO_RESULTS,Cabanillas del Campo,19058,Aranjuez,28013,transit,NA,NA,NA,NA,1530000000
ZERO_RESULTS,Cabanillas del Campo,19058,Arganda del Rey,28014,transit,NA,NA,NA,NA,1530000000
ZERO_RESULTS,Cabanillas del Campo,19058,Arroyomolinos,28015,transit,NA,NA,NA,NA,1530000000
ZERO_RESULTS,Cabanillas del Campo,19058,Boadilla del Monte,28022,transit,NA,NA,NA,NA,1530000000
ZERO_RESULTS,Cabanillas del Campo,19058,Brea de Tajo,28025,transit,NA,NA,NA,NA,1530000000
ZERO_RESULTS,Cabanillas del Campo,19058,Camarma de Esteruelas,28032,transit,NA,NA,NA,NA,1530000000
ZERO_RESULTS,Cabanillas del Campo,19058,Campo Real,28033,transit,NA,NA,NA,NA,1530000000
ZERO_RESULTS,Cabanillas del Campo,19058,Cercedilla,28038,transit,NA,NA,NA,NA,1530000000
ZERO_RESULTS,Cabanillas del Campo,19058,Cobeña,28041,transit,NA,NA,NA,NA,1530000000
ZERO_RESULTS,Cabanillas del Campo,19058,Colmenar Viejo,28045,transit,NA,NA,NA,NA,1530000000
ZERO_RESULTS,Cabanillas del Campo,19058,Corpa,28048,transit,NA,NA,NA,NA,1530000000
ZERO_RESULTS,Cabanillas del Campo,19058,Coslada,28049,transit,NA,NA,NA,NA,1530000000
ZERO_RESULTS,Cabanillas del Campo,19058,Daganzo de Arriba,28053,transit,NA,NA,NA,NA,1530000000
