route,bicycling,driving_best_guess,transit,walking,best,origin_ine_code,destination_ine_code,workers_count
19024 - 28002,5730,1654,NA,18523,driving_best_guess,19024,28002,19
19024 - 28003,19364,4530,NA,62601,más de 30 min,19024,28003,1
19024 - 28004,19778,3770,NA,66720,más de 30 min,19024,28004,3
19024 - 28005,3628,1500,NA,13419,driving_best_guess,19024,28005,382
19024 - 28006,9318,2163,NA,30648,más de 30 min,19024,28006,81
19024 - 28007,15443,2972,NA,50033,más de 30 min,19024,28007,17
19024 - 28008,22084,4485,NA,75943,más de 30 min,19024,28008,1
19024 - 28009,6325,1887,NA,19925,más de 30 min,19024,28009,6
19024 - 28011,8450,2649,NA,28994,más de 30 min,19024,28011,2
19024 - 28012,5287,1508,NA,15600,driving_best_guess,19024,28012,2
19024 - 28013,15676,3909,NA,57478,más de 30 min,19024,28013,11
19024 - 28014,8531,2283,NA,30192,más de 30 min,19024,28014,22
19024 - 28015,18305,3454,NA,58648,más de 30 min,19024,28015,5
19024 - 28022,16670,3103,NA,52854,más de 30 min,19024,28022,6
19024 - 28024,17670,3955,NA,56392,más de 30 min,19024,28024,3
19024 - 28032,2963,1229,NA,10578,driving_best_guess,19024,28032,10
19024 - 28033,8710,2431,NA,28089,más de 30 min,19024,28033,2
19024 - 28040,13215,3506,NA,47943,más de 30 min,19024,28040,5
19024 - 28041,6501,1772,NA,20430,driving_best_guess,19024,28041,2
19024 - 28043,14981,3635,NA,50094,más de 30 min,19024,28043,2
19024 - 28044,19492,4047,NA,62585,más de 30 min,19024,28044,1
19024 - 28045,13455,3369,NA,43823,más de 30 min,19024,28045,2
19024 - 28046,18944,4181,NA,62290,más de 30 min,19024,28046,1
19024 - 28047,18851,3795,NA,62406,más de 30 min,19024,28047,5
19024 - 28048,6316,2275,NA,19449,más de 30 min,19024,28048,1
19024 - 28049,7912,1905,NA,28258,más de 30 min,19024,28049,52
19024 - 28050,16007,3576,NA,59111,más de 30 min,19024,28050,1
