status,origin,origin_code,destination,destination_code,mode,traffic,distance,duration,duration_in_traffic,departure_time
OK,Chamartín,28079-05,Ajalvir,28002,transit,NA,25397,3507,3507,1530000000
ZERO_RESULTS,Chamartín,28079-05,El Alamo,28004,transit,NA,NA,NA,NA,1530000000
OK,Chamartín,28079-05,Alcalá de Henares,28005,transit,NA,39990,4111,4111,1530000000
OK,Chamartín,28079-05,Alcobendas,28006,transit,NA,10059,1303,1303,1530000000
OK,Chamartín,28079-05,Alcorcón,28007,transit,NA,19843,3258,3258,1530000000
OK,Chamartín,28079-05,Algete,28009,transit,NA,33189,4887,4887,1530000000
OK,Chamartín,28079-05,Alpedrete,28010,transit,NA,45742,3998,3998,1530000000
ZERO_RESULTS,Chamartín,28079-05,Anchuelo,28012,transit,NA,NA,NA,NA,1530000000
OK,Chamartín,28079-05,Aranjuez,28013,transit,NA,55385,4309,4309,1530000000
OK,Chamartín,28079-05,Arganda del Rey,28014,transit,NA,34664,5250,5250,1530000000
ZERO_RESULTS,Chamartín,28079-05,Arroyomolinos,28015,transit,NA,NA,NA,NA,1530000000
OK,Chamartín,28079-05,El Atazar,28016,transit,NA,67768,7843,7843,1530000000
ZERO_RESULTS,Chamartín,28079-05,Becerril de la Sierra,28018,transit,NA,NA,NA,NA,1530000000
OK,Chamartín,28079-05,Boadilla del Monte,28022,transit,NA,27184,5558,5558,1530000000
ZERO_RESULTS,Chamartín,28079-05,El Boalo,28023,transit,NA,NA,NA,NA,1530000000
OK,Chamartín,28079-05,Braojos,28024,transit,NA,80466,11743,11743,1530000000
ZERO_RESULTS,Chamartín,28079-05,Brea de Tajo,28025,transit,NA,NA,NA,NA,1530000000
OK,Chamartín,28079-05,Brunete,28026,transit,NA,34337,4395,4395,1530000000
OK,Chamartín,28079-05,Buitrago del Lozoya,28027,transit,NA,65504,7182,7182,1530000000
ZERO_RESULTS,Chamartín,28079-05,Bustarviejo,28028,transit,NA,NA,NA,NA,1530000000
OK,Chamartín,28079-05,La Cabrera,28030,transit,NA,50614,5853,5853,1530000000
ZERO_RESULTS,Chamartín,28079-05,Cadalso de los Vidrios,28031,transit,NA,NA,NA,NA,1530000000
OK,Chamartín,28079-05,Camarma de Esteruelas,28032,transit,NA,38925,5322,5322,1530000000
ZERO_RESULTS,Chamartín,28079-05,Campo Real,28033,transit,NA,NA,NA,NA,1530000000
ZERO_RESULTS,Chamartín,28079-05,Carabaña,28035,transit,NA,NA,NA,NA,1530000000
ZERO_RESULTS,Chamartín,28079-05,Cenicientos,28037,transit,NA,NA,NA,NA,1530000000
OK,Chamartín,28079-05,Cercedilla,28038,transit,NA,60842,5018,5018,1530000000
OK,Chamartín,28079-05,Ciempozuelos,28040,transit,NA,40654,3649,3649,1530000000
OK,Chamartín,28079-05,Cobeña,28041,transit,NA,29782,4527,4527,1530000000
OK,Chamartín,28079-05,Colmenar del Arroyo,28042,transit,NA,56986,6083,6083,1530000000
ZERO_RESULTS,Chamartín,28079-05,Colmenarejo,28044,transit,NA,NA,NA,NA,1530000000
OK,Chamartín,28079-05,Colmenar Viejo,28045,transit,NA,28159,4137,4137,1530000000
OK,Chamartín,28079-05,Collado Mediano,28046,transit,NA,51748,4358,4358,1530000000
OK,Chamartín,28079-05,Collado Villalba,28047,transit,NA,41099,3628,3628,1530000000
ZERO_RESULTS,Chamartín,28079-05,Corpa,28048,transit,NA,NA,NA,NA,1530000000
OK,Chamartín,28079-05,Coslada,28049,transit,NA,21598,2851,2851,1530000000
ZERO_RESULTS,Chamartín,28079-05,Cubas de la Sagra,28050,transit,NA,NA,NA,NA,1530000000
OK,Chamartín,28079-05,Chapinería,28051,transit,NA,51720,4926,4926,1530000000
ZERO_RESULTS,Chamartín,28079-05,Chinchón,28052,transit,NA,NA,NA,NA,1530000000
OK,Chamartín,28079-05,Daganzo de Arriba,28053,transit,NA,27221,3867,3867,1530000000
ZERO_RESULTS,Chamartín,28079-05,El Escorial,28054,transit,NA,NA,NA,NA,1530000000
ZERO_RESULTS,Chamartín,28079-05,Estremera,28055,transit,NA,NA,NA,NA,1530000000
OK,Chamartín,28079-05,Fuenlabrada,28058,transit,NA,27521,3631,3631,1530000000
OK,Chamartín,28079-05,Fuente el Saz de Jarama,28059,transit,NA,26557,3043,3043,1530000000
ZERO_RESULTS,Chamartín,28079-05,Fuentidueña de Tajo,28060,transit,NA,NA,NA,NA,1530000000
OK,Chamartín,28079-05,Galapagar,28061,transit,NA,36455,4285,4285,1530000000
OK,Chamartín,28079-05,Garganta de los Montes,28062,transit,NA,72183,7603,7603,1530000000
OK,Chamartín,28079-05,Gascones,28064,transit,NA,76792,11443,11443,1530000000
OK,Chamartín,28079-05,Getafe,28065,transit,NA,21572,2629,2629,1530000000
ZERO_RESULTS,Chamartín,28079-05,Griñón,28066,transit,NA,NA,NA,NA,1530000000
OK,Chamartín,28079-05,Guadalix de la Sierra,28067,transit,NA,49748,6943,6943,1530000000
OK,Chamartín,28079-05,Guadarrama,28068,transit,NA,54881,5674,5674,1530000000
ZERO_RESULTS,Chamartín,28079-05,Hoyo de Manzanares,28072,transit,NA,NA,NA,NA,1530000000
OK,Chamartín,28079-05,Humanes de Madrid,28073,transit,NA,31468,3811,3811,1530000000
OK,Chamartín,28079-05,Leganés,28074,transit,NA,23547,3783,3783,1530000000
ZERO_RESULTS,Chamartín,28079-05,Loeches,28075,transit,NA,NA,NA,NA,1530000000
OK,Chamartín,28079-05,Madarcos,28078,transit,NA,73362,11683,11683,1530000000
OK,Chamartín,28079-05,Madrid,28079,transit,NA,1555,822,822,1530000000
OK,Chamartín,28079-05,Centro,28079-01,transit,NA,7763,2206,2206,1530000000
OK,Chamartín,28079-05,Arganzuela,28079-02,transit,NA,9592,2118,2118,1530000000
OK,Chamartín,28079-05,Retiro,28079-03,transit,NA,8464,2539,2539,1530000000
OK,Chamartín,28079-05,Salamanca,28079-04,transit,NA,4484,1918,1918,1530000000
OK,Chamartín,28079-05,Chamartín,28079-05,transit,NA,0,0,0,1530000000
OK,Chamartín,28079-05,Tetuán,28079-06,transit,NA,1307,995,995,1530000000
OK,Chamartín,28079-05,Chamberí,28079-07,transit,NA,5427,2024,2024,1530000000
ZERO_RESULTS,Chamartín,28079-05,Fuencarral-El Pardo,28079-08,transit,NA,NA,NA,NA,1530000000
OK,Chamartín,28079-05,Moncloa-Aravaca,28079-09,transit,NA,13765,4836,4836,1530000000
OK,Chamartín,28079-05,Latina,28079-10,transit,NA,9844,2428,2428,1530000000
OK,Chamartín,28079-05,Carabanchel,28079-11,transit,NA,15358,3672,3672,1530000000
OK,Chamartín,28079-05,Usera,28079-12,transit,NA,12379,3189,3189,1530000000
OK,Chamartín,28079-05,Puente de Vallecas,28079-13,transit,NA,11016,2571,2571,1530000000
OK,Chamartín,28079-05,Moratalaz,28079-14,transit,NA,10432,2675,2675,1530000000
OK,Chamartín,28079-05,Ciudad Lineal,28079-15,transit,NA,4840,2437,2437,1530000000
OK,Chamartín,28079-05,Hortaleza,28079-16,transit,NA,6972,1975,1975,1530000000
OK,Chamartín,28079-05,Villaverde,28079-17,transit,NA,18047,2802,2802,1530000000
OK,Chamartín,28079-05,Villa de Vallecas,28079-18,transit,NA,17720,4033,4033,1530000000
OK,Chamartín,28079-05,Vicálvaro,28079-19,transit,NA,19353,3849,3849,1530000000
OK,Chamartín,28079-05,San Blas - Canillejas,28079-20,transit,NA,9525,2645,2645,1530000000
OK,Chamartín,28079-05,Barajas,28079-21,transit,NA,17063,3855,3855,1530000000
OK,Chamartín,28079-05,Majadahonda,28080,transit,NA,31635,5314,5314,1530000000
ZERO_RESULTS,Chamartín,28079-05,Manzanares El Real,28082,transit,NA,NA,NA,NA,1530000000
OK,Chamartín,28079-05,Meco,28083,transit,NA,39687,3905,3905,1530000000
ZERO_RESULTS,Chamartín,28079-05,Mejorada del Campo,28084,transit,NA,NA,NA,NA,1530000000
