status,distance.value,duration.value,duration_in_traffic.value,origin,origin_ine_code,dest_ine_code,destination
OK,33289,1614,1654,"19208 Alovera, Guadalajara, Spain",19024,28002,"28864 Ajalvir, Madrid, Spain"
OK,110706,4426,4530,"19208 Alovera, Guadalajara, Spain",19024,28003,"28749 Alameda del Valle, Madrid, Spain"
OK,91518,3701,3770,"19208 Alovera, Guadalajara, Spain",19024,28004,"28607 El Álamo, Madrid, Spain"
OK,20100,1442,1500,"19208 Alovera, Guadalajara, Spain",19024,28005,"Alcala de Henares, Madrid, Spain"
OK,45228,2098,2163,"19208 Alovera, Guadalajara, Spain",19024,28006,"Alcobendas, Madrid, Spain"
OK,67579,2936,2972,"19208 Alovera, Guadalajara, Spain",19024,28007,"Alcorcón, Madrid, Spain"
OK,104618,4412,4485,"19208 Alovera, Guadalajara, Spain",19024,28008,"28620 Aldea del Fresno, Madrid, Spain"
OK,41482,1840,1887,"19208 Alovera, Guadalajara, Spain",19024,28009,"28110 Algete, Madrid, Spain"
OK,47266,2597,2649,"19208 Alovera, Guadalajara, Spain",19024,28011,"28580 Ambite, Madrid, Spain"
OK,24197,1491,1508,"19208 Alovera, Guadalajara, Spain",19024,28012,"28818 Anchuelo, Madrid, Spain"
OK,93467,3833,3909,"19208 Alovera, Guadalajara, Spain",19024,28013,"28300 Aranjuez, Madrid, Spain"
OK,46956,2215,2283,"19208 Alovera, Guadalajara, Spain",19024,28014,"Arganda del Rey, 28500, Madrid, Spain"
OK,82797,3421,3454,"19208 Alovera, Guadalajara, Spain",19024,28015,"28939 Arroyomolinos, Madrid, Spain"
OK,77275,3083,3103,"19208 Alovera, Guadalajara, Spain",19024,28022,"Boadilla del Monte, Madrid, Spain"
OK,101955,3891,3955,"19208 Alovera, Guadalajara, Spain",19024,28024,"28737 Braojos, Madrid, Spain"
OK,15945,1199,1229,"19208 Alovera, Guadalajara, Spain",19024,28032,"28816 Camarma de Esteruelas, Madrid, Spain"
OK,46215,2346,2431,"19208 Alovera, Guadalajara, Spain",19024,28033,"28510 Campo Real, Madrid, Spain"
OK,80530,3439,3506,"19208 Alovera, Guadalajara, Spain",19024,28040,"28350 Ciempozuelos, Madrid, Spain"
OK,36712,1735,1772,"19208 Alovera, Guadalajara, Spain",19024,28041,"28863 Cobeña, Madrid, Spain"
OK,78471,3503,3635,"19208 Alovera, Guadalajara, Spain",19024,28043,"28380 Colmenar de Oreja, Madrid, Spain"
OK,88856,3932,4047,"19208 Alovera, Guadalajara, Spain",19024,28044,"Colmenarejo, Madrid, Spain"
OK,73543,3240,3369,"19208 Alovera, Guadalajara, Spain",19024,28045,"28770 Colmenar Viejo, Madrid, Spain"
OK,99346,4059,4181,"19208 Alovera, Guadalajara, Spain",19024,28046,"Collado Mediano, Madrid, Spain"
OK,92700,3677,3795,"19208 Alovera, Guadalajara, Spain",19024,28047,"28400 Collado Villalba, Madrid, Spain"
OK,39102,2213,2275,"19208 Alovera, Guadalajara, Spain",19024,28048,"28811 Corpa, Madrid, Spain"
OK,41789,1893,1905,"19208 Alovera, Guadalajara, Spain",19024,28049,"Coslada, Madrid, Spain"
OK,86187,3527,3576,"19208 Alovera, Guadalajara, Spain",19024,28050,"28978 Cubas de la Sagra, Madrid, Spain"
OK,30879,1523,1566,"19208 Alovera, Guadalajara, Spain",19024,28053,"28814 Daganzo de Arriba, Madrid, Spain"
OK,75078,3014,3045,"19208 Alovera, Guadalajara, Spain",19024,28058,"Fuenlabrada, Madrid, Spain"
OK,45487,2058,2115,"19208 Alovera, Guadalajara, Spain",19024,28059,"28140 Fuente el Saz de Jarama, Madrid, Spain"
OK,84272,3449,3518,"19208 Alovera, Guadalajara, Spain",19024,28060,"28597 Fuentidueña de Tajo, Madrid, Spain"
OK,88027,3954,4061,"19208 Alovera, Guadalajara, Spain",19024,28061,"Galapagar, Madrid, Spain"
OK,101525,3826,3890,"19208 Alovera, Guadalajara, Spain",19024,28064,"28737 Gascones, Madrid, Spain"
OK,65025,2872,2909,"19208 Alovera, Guadalajara, Spain",19024,28065,"Getafe, Madrid, Spain"
OK,88818,3444,3510,"19208 Alovera, Guadalajara, Spain",19024,28066,"28971 Griñón, Madrid, Spain"
OK,100483,4179,4302,"19208 Alovera, Guadalajara, Spain",19024,28068,"Guadarrama, 28440, Madrid, Spain"
OK,78206,3248,3307,"19208 Alovera, Guadalajara, Spain",19024,28073,"Humanes de Madrid, Madrid, Spain"
OK,70440,2919,2957,"19208 Alovera, Guadalajara, Spain",19024,28074,"Leganés, Madrid, Spain"
OK,37330,1775,1826,"19208 Alovera, Guadalajara, Spain",19024,28075,"28890 Loeches, Madrid, Spain"
OK,54872,2874,3034,"19208 Alovera, Guadalajara, Spain",19024,28079,"Madrid, Spain"
OK,54907,2890,3068,"19208 Alovera, Guadalajara, Spain",19024,28079-01,"Centro, Madrid, Spain"
OK,56858,2503,2519,"19208 Alovera, Guadalajara, Spain",19024,28079-02,"Arganzuela, Madrid, Spain"
OK,51900,2428,2448,"19208 Alovera, Guadalajara, Spain",19024,28079-03,"Retiro, Madrid, Spain"
OK,49883,2505,2791,"19208 Alovera, Guadalajara, Spain",19024,28079-04,"Salamanca, Madrid, Spain"
OK,187663,7085,7248,"19208 Alovera, Guadalajara, Spain",19024,28079-05,"05141 Chamartín, Ávila, Spain"
OK,51869,2696,2875,"19208 Alovera, Guadalajara, Spain",19024,28079-06,"Tetuán, Madrid, Spain"
OK,51419,2649,2888,"19208 Alovera, Guadalajara, Spain",19024,28079-07,"Chamberí, Madrid, Spain"
OK,65483,2983,3138,"19208 Alovera, Guadalajara, Spain",19024,28079-08,"Fuencarral-El Pardo, 28048 Madrid, Spain"
OK,66329,2677,2774,"19208 Alovera, Guadalajara, Spain",19024,28079-09,"Moncloa - Aravaca, Madrid, Spain"
OK,60090,2981,3001,"19208 Alovera, Guadalajara, Spain",19024,28079-10,"Latina, Madrid, Spain"
OK,60725,2810,2823,"19208 Alovera, Guadalajara, Spain",19024,28079-11,"Carabanchel, Madrid, Spain"
OK,58635,2695,2717,"19208 Alovera, Guadalajara, Spain",19024,28079-12,"Usera, Madrid, Spain"
